"year","organisation","critical_industry","organisation_size","level_of_digital_intensity","sector","country","cyber_security_role","cyber_security_frameworks","education_and_awareness_policy","policy","prevention_detection_and_recovery","improper_network_segmentation","absence_of_encryption","detector","restructuring_after_attack","bribe_ransom_paid","free_identity_or_credit_theft_monitoring","additional_disclosure_of_information","number_of_users_affected","overall_nature_of_attack","attack_type","attacker","attack_vector","impact_on_data","aspect_of_confidentiality_integrity_availability_triad_affected","individual_s_name_s_leaked_exposed","address_es_leaked_exposed","other_personally_identifiable_information_pii_leaked_exposed","track_1_credit_card_details_leaked_exposed","track_2_credit_card_details_leaked_exposed","social_security_number_tax_number_leaked_exposed","subsequent_fraudulent_use_of_data","investigation","undertook_investigation","litigation_by_public","penalties_settlement_paid_or_actions_imposed","imposed_penalties_or_actions_on_organisation","fines_issued_by_government_or_relevant_body","settlement_paid"
2017,"ABCD Pediatrics, P.A.","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","Yes","No","Organisation","Yes","No","No","Yes",55447,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Accretive Health","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","No","Yes",23000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
2018,"AccuDoc Solutions, Inc.","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","Yes",2650000,"Type 2","Unknown","External","Vendor vulnerability","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Acer Service Corporation","Yes","Large","Medium-High","Computer, electronic and optical products","USA","No","No","No","Yes","Low","Yes","Yes","Public","Yes","No","No","Yes",34500,"Type 4","Web compromise","External","Unknown website/web application attack","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
2013,"Administrative Office of the Courts - Washington","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",160000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Adobe","Yes","Large","High","IT and other information services","Global","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",3.8e+07,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
2015,"Adult Friend Finder","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",3500000,"NA","Unknown","External","Unknown website/web application attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2008,"Advance Auto Parts","Yes","Medium","Medium-High","Machine equipment","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","No","Yes",56000,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","No","No","Yes","NA","No","No","No","No","No","No","No","No","No"
2015,"Advantage Dental","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Public","Yes","No","Yes","Yes",151000,"Type 1","Installed malware","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2018,"AdventHealth Rollins Brook Hospital","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Low","Yes","Yes","Public","Yes","No","Yes","No",42000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"Aetna","No","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","NA","Yes","No","Yes","No",65000,"Type 4","Web compromise","External","NA","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2008,"Agilent Technologies","Yes","Large","Low-Medium","Chemicals and chemical products","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","NA",51000,"Type 3","Physical Theft","External","Vendor vulnerability","High","Confidentiality","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"AHMC Healthcare Inc.","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","Yes",729000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Airway Oxygen, Inc.","Yes","Unknown","Low-Medium","Chemicals and chemical products","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",5e+05,"Type 1","Installed malware","External","NA","High","Availability","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No"
2018,"Alaska Department of Health  Social Services","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","NA","Organisation","NA","No","NA","NA",501000,"Type 1","Installed malware","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
2018,"Alaska Division of Public Assistance","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","No","NA",87000,"Type 1","Installed malware","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2010,"American Honda Motor Company","Yes","Large","Medium-High","Machine equipment","USA","No","No","No","Yes","Low","NA","Yes","Organisation","NA","No","NA","Yes",4900000,"Type 2","Unknown","External","Vendor vulnerability","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Ankle + Foot Center of Tampa Bay, Inc.","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",156000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
2015,"Anthem/Blue Cross","No","Large","High","Finance and insurance","Global","No","No","No","Yes","Low","Yes","Yes","NA","NA","No","Yes","Yes",7.9e+07,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
2004,"AOL","Yes","Large","High","IT and other information services","USA","No","No","No","Yes","Low","No","Yes","Public","Yes","No","No","No",9.2e+07,"NA","Unknown","Internal","Inappropriate use of privilege","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2012,"Apria Healthcare, Inc.","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",11000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Arkansas Oral & Facial Surgery Center","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","No",128000,"Type 1","Installed malware","External","NA","High","Availability","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2018,"Artesia General Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","No",13905,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Ashland Women's Health","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",19727,"Type 1","Installed malware","External","NA","High","Availability","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2013,"Assisted Living Concepts, LLC","No","Large","Low-Medium","Residential care and social work activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","No",43600,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2010,"AT&T","Yes","Large","High","Telecommunications","USA","No","No","No","Yes","Low","Yes","No","Organisation","NA","No","No","No",114000,"Type 4","Web compromise","External","Insufficient input validation","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2015,"AT&T Group Health Plan","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","No",280000,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","High","Confidentiality","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
2017,"AU Medical Center, Inc.","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","No",417000,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Auburn University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","No",13698,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Aventura Hospital  Medical Center","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","Yes","No","Organisation","Yes","No","No","Yes",82601,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No"
2009,"AvMed, Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","NA","NA",1200000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","Yes"
2018,"AXA","No","Large","High","Finance and insurance","Singapore","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",5400,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","No","No"
2016,"Bailey's Inc.","No","Small","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",250000,"Type 4","Web compromise","External","Unknown website/web application attack","High","Confidentiality","Yes","No","No","Yes","NA","No","No","No","No","No","No","No","No","No"
2005,"Bank of America","Yes","Large","High","Finance and insurance","USA","No","No","No","NA","Low","NA","NA","NA","NA","No","Yes","Yes",60000,"Type 2","Misuse of resources","External","Physical device","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","Yes","Yes","Yes","No","No","No","No","No"
2018,"Bankers life","Yes","Medium","High","Finance and insurance","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","No",566217,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","NA","NA","Yes","Yes","No","No","No","No","No","No","No"
2016,"Banner Health","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","NA","NA",3700000,"Type 1","Installed malware","External","Unknown network attack","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
2014,"Bartell Hotels","No","Large","Low","Accommodation and food service activities","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",45000,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","No","No","Yes","NA","No","No","Yes","Yes","No","No","No","No","No"
2016,"Baystate Health, Inc.","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","No",13000,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No"
2017,"Bell","Yes","Large","High","Telecommunications","Canada","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",1900000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2010,"Betfair","No","Large","Medium-High","Arts, entertainment and recreation","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","NA","NA",3e+06,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"BigMoneyJobs.com","No","Unknown","High","Advertising and other business services","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","No","No",36802,"Type 4","Web compromise","External","Insufficient input validation","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2018,"Billings Clinic","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","Yes",8435,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2006,"Bisys Group Inc.","No","Unknown","Medium-High","Publishing, audiovisual and broadcasting","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","No","No",61000,"Type 3","Physical Theft","External","Vendor vulnerability","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","No","No","No","No","No","No","No"
2016,"Bizmatics, Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",3e+05,"Type 1","Installed malware","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2012,"Blount Memorial Hospital, Inc","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","Yes",27000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2019,"Blue Cross Blue Shield of Massachusetts","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",1.1e+07,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"Blue Cross Blue Shield of Tennessee","No","Large","High","Finance and insurance","USA","Yes","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",1e+06,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","NA","NA","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
2018,"Blue springs family care p c","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",45000,"Type 1","Installed malware","External","Unknown network attack","High","Availability","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Bombas, LLC","No","Medium","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Medium","Yes","NA","Organisation","Yes","No","Yes","Yes",39561,"Type 1","Installed malware","External","Social engineering","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
2005,"Boston College","No","Large","Low-Medium","Education","USA","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",1e+05,"Type 1","Installed malware","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Boys Town National Research Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",105309,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Brandywine Pediatrics, P.A.","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","Yes","No","Organisation","Yes","No","No","No",26873,"Type 1","Installed malware","External","NA","High","Availability","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"Brazzers.com","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",8e+05,"Type 4","Web compromise","External","Vendor vulnerability","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2018,"British Airways","Yes","Large","Low","Transportation storage","UK","Yes","No","No","Yes","Medium","No","NA","Organisation","Yes","No","No","No",5e+05,"Type 4","Web compromise","External","Insufficient input validation","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No"
2006,"Buckeye Community Health Plan","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","Yes",85000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2010,"Buena Vista University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","Yes","Yes",93000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Butler University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",163000,"Type 2","Unknown","External","Insufficient authentication validation","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2014,"California Department of Corrections and Rehabilitation","Yes","Unknown","Medium-High","Public administration and defence","USA","No","No","No","Yes","Medium","No","NA","Organisation","Yes","No","No","Yes",4e+05,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"California state university, fresno","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","NA","Organisation","Yes","No","No","Yes",15000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Cancer Care Group","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",55000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2019,"Capital One","Yes","Large","High","Finance and insurance","USA","Yes","No","No","Yes","Low","Yes","NA","Federal Agency","Yes","No","Yes","Yes",1.06e+08,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Capital One","Yes","Large","High","Finance and insurance","USA","Yes","No","No","Yes","Low","NA","NA","Federal Agency","No","No","Yes","Yes",1e+05,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Cardiology Center of Acadiana","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",9681,"Type 1","Installed malware","External","Unknown network attack","High","Availability","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2005,"CardSystems","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","Credit card/bank","Yes","No","NA","NA",4e+07,"Type 1","Installed malware","External","Unknown network attack","High","Confidentiality","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No"
2018,"Careem","Yes","Medium","Low","Transportation storage","UAE","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",14558000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No"
2015,"CareFirst BlueCross BlueShield","No","Large","High","Finance and insurance","USA","No","No","No","Yes","Medium","Yes","NA","Organisation","Yes","No","Yes","No",1100000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2015,"CarPhone Warehouse","No","Medium","Medium-High","Wholesale, retail trade and repair","UK","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",2400000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","No","No","No","No","No","No","No"
2018,"Catawba Valley Medical Center","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","No","Organisation","Yes","No","No","Yes",20000,"Type 2","Misuse of resources","External","Social engineering","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Cathay Pacific","Yes","Large","Low","Transportation storage","Hong Kong","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",1105000,"Type 1","Installed malware","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
2017,"CBS Consolidated, Inc.","No","Unknown","High","Advertising and other business services","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","NA",21856,"Type 2","Misuse of resources","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Cedars-Sinai Health System","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","Yes",33000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2019,"Centerstone Insurance  Financial Services","No","Medium","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",111589,"Type 2","Misuse of resources","External","Social engineering","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","Yes","Yes","No","No","No","No","No"
2012,"Central Connecticut State University (CCSU)","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",18000,"Type 1","Installed malware","External","Unknown device attack","Low","Confidentiality","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Central Hudson Gas & Electric","Yes","Unknown","Low","Electricity, gas, steam and air conditioning","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","No","No",375000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"Central Ohio Urology Group, Inc.","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","NA",3e+05,"Type 2","Unknown","External","Insufficient input validation","High","Confidentiality","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
2014,"Central Utah Clinic","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","NA",31667,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"Certegy Check Services Inc","Yes","Medium","High","Finance and insurance","USA","No","No","No","Yes","Low","No","No","Public","NA","No","NA","NA",8500000,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","Yes","Yes","No","Yes","Yes","No","No","Yes"
2017,"CEX","No","Small","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",2e+06,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Charles River Medical Associates, pc","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",9387,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"CheckFree Corporation","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","No","Organisation","NA","No","NA","NA",5e+06,"Type 4","Web compromise","External","Unknown website/web application attack","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2018,"Chegg, Inc.","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",4e+07,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2007,"Chicago Public Schools","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","No","No","Organisation","NA","No","NA","NA",40000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"ChildNet","No","Unknown","Low-Medium","Residential care and social work activities","USA","No","No","No","No","Medium","No","Yes","Organisation","Yes","No","NA","NA",12000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No"
2014,"Children's National Medical Center","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","No",18000,"Type 2","Unknown","External","Social engineering","Low","Confidentiality","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No"
2011,"China Software Developer Network","Yes","Large","High","IT and other information services","China","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",6e+06,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No"
